ID,Actual Class,Predicted Class,Posterior Probability
1,Iris-setosa,Iris-setosa,1.0
2,Iris-setosa,Iris-setosa,1.0
3,Iris-setosa,Iris-setosa,1.0
4,Iris-setosa,Iris-setosa,1.0
5,Iris-setosa,Iris-setosa,1.0
6,Iris-setosa,Iris-setosa,1.0
7,Iris-setosa,Iris-setosa,1.0
8,Iris-setosa,Iris-setosa,1.0
9,Iris-setosa,Iris-setosa,1.0
10,Iris-setosa,Iris-setosa,1.0
11,Iris-setosa,Iris-setosa,1.0
12,Iris-setosa,Iris-setosa,1.0
13,Iris-setosa,Iris-setosa,1.0
14,Iris-setosa,Iris-setosa,1.0
15,Iris-setosa,Iris-setosa,1.0
16,Iris-setosa,Iris-setosa,1.0
17,Iris-setosa,Iris-setosa,1.0
18,Iris-setosa,Iris-setosa,1.0
19,Iris-setosa,Iris-setosa,1.0
20,Iris-setosa,Iris-setosa,1.0
21,Iris-versicolor,Iris-versicolor,1.0
22,Iris-versicolor,Iris-virginica,0.6665060977890171
23,Iris-versicolor,Iris-virginica,1.0
24,Iris-versicolor,Iris-versicolor,1.0
25,Iris-versicolor,Iris-versicolor,1.0
26,Iris-versicolor,Iris-versicolor,0.6666277788947975
27,Iris-versicolor,Iris-versicolor,1.0
28,Iris-versicolor,Iris-versicolor,1.0
29,Iris-versicolor,Iris-versicolor,1.0
30,Iris-versicolor,Iris-versicolor,1.0
31,Iris-versicolor,Iris-virginica,0.6657349726563822
32,Iris-versicolor,Iris-virginica,0.6665373978517947
33,Iris-versicolor,Iris-versicolor,0.662839838188848
34,Iris-versicolor,Iris-virginica,0.6658586074798767
35,Iris-versicolor,Iris-virginica,0.6663516218873304
36,Iris-versicolor,Iris-versicolor,0.6656902102725785
37,Iris-versicolor,Iris-virginica,1.0
38,Iris-versicolor,Iris-versicolor,1.0
39,Iris-versicolor,Iris-versicolor,1.0
40,Iris-versicolor,Iris-versicolor,1.0
41,Iris-versicolor,Iris-virginica,0.6663442527778373
42,Iris-versicolor,Iris-versicolor,1.0
43,Iris-versicolor,Iris-versicolor,0.6667517614510594
44,Iris-versicolor,Iris-versicolor,0.6665055042213675
45,Iris-versicolor,Iris-virginica,1.0
46,Iris-versicolor,Iris-versicolor,0.6667556698456446
47,Iris-versicolor,Iris-versicolor,0.6661178380362727
48,Iris-versicolor,Iris-versicolor,0.6667768011828451
49,Iris-versicolor,Iris-versicolor,0.6663704083129314
50,Iris-versicolor,Iris-versicolor,1.0
51,Iris-virginica,Iris-virginica,0.6665186591750202
52,Iris-virginica,Iris-virginica,0.6662094204907273
53,Iris-virginica,Iris-versicolor,0.6660745586852709
54,Iris-virginica,Iris-virginica,0.6663119973599402
55,Iris-virginica,Iris-virginica,1.0
56,Iris-virginica,Iris-versicolor,1.0
57,Iris-virginica,Iris-versicolor,1.0
58,Iris-virginica,Iris-versicolor,0.6666166647390614
59,Iris-virginica,Iris-versicolor,0.666941508726414
60,Iris-virginica,Iris-virginica,1.0
61,Iris-virginica,Iris-versicolor,0.6661469791902701
62,Iris-virginica,Iris-virginica,1.0
63,Iris-virginica,Iris-virginica,0.66673945924704
64,Iris-virginica,Iris-virginica,0.6659653794438505
65,Iris-virginica,Iris-versicolor,1.0
66,Iris-virginica,Iris-versicolor,0.6656737771828702
67,Iris-virginica,Iris-virginica,1.0
68,Iris-virginica,Iris-versicolor,0.6666426104113337
69,Iris-virginica,Iris-versicolor,1.0
70,Iris-virginica,Iris-virginica,1.0
