ID,Actual Class,Predicted Class,Posterior Probability
9364, <=50K, <=50K,0.68
25668, <=50K, <=50K,0.72
13316, <=50K, <=50K,0.96
28750, <=50K, <=50K,0.96
30619, <=50K, <=50K,0.96
1484, <=50K, <=50K,0.96
17193, <=50K, <=50K,1.0
29052, <=50K, <=50K,0.92
17951, <=50K, <=50K,0.52
14864, >50K, >50K,0.52
31146, <=50K, <=50K,0.52
14757, <=50K, <=50K,0.88
22055, <=50K, <=50K,0.96
18639, <=50K, <=50K,0.96
3350, >50K, >50K,0.52
29286, >50K, >50K,0.56
8009, <=50K, <=50K,1.0
1369, >50K, >50K,0.72
10672, <=50K, <=50K,0.92
31062, <=50K, <=50K,1.0
28947, >50K, >50K,0.72
22544, >50K, <=50K,0.56
20842, <=50K, <=50K,0.88
32352, <=50K, <=50K,0.96
21335, <=50K, <=50K,0.96
23053, >50K, >50K,0.6
17702, >50K, <=50K,0.6
19330, <=50K, <=50K,0.84
9408, <=50K, <=50K,0.96
4786, <=50K, <=50K,1.0
31329, <=50K, <=50K,0.84
29352, >50K, <=50K,0.76
22468, >50K, >50K,0.56
25875, <=50K, >50K,0.52
801, <=50K, <=50K,0.84
15541, <=50K, <=50K,1.0
24669, <=50K, <=50K,0.96
7039, <=50K, <=50K,1.0
10349, <=50K, <=50K,0.96
7533, >50K, >50K,0.56
4644, <=50K, <=50K,1.0
13482, <=50K, <=50K,1.0
13454, <=50K, <=50K,0.92
11995, <=50K, <=50K,0.96
4958, <=50K, <=50K,0.96
4514, <=50K, <=50K,1.0
7578, <=50K, <=50K,0.8
15151, <=50K, <=50K,0.72
8648, <=50K, <=50K,1.0
27890, <=50K, <=50K,0.96
1491, <=50K, <=50K,0.72
14376, <=50K, <=50K,0.92
25973, >50K, >50K,0.52
3963, <=50K, <=50K,0.64
18235, >50K, >50K,0.6
6714, >50K, <=50K,0.84
4146, >50K, >50K,0.56
24486, >50K, <=50K,0.72
29092, <=50K, <=50K,1.0
12171, <=50K, <=50K,1.0
21617, <=50K, <=50K,0.96
3083, <=50K, <=50K,0.8
12479, <=50K, <=50K,0.8
8917, <=50K, <=50K,1.0
26474, <=50K, <=50K,0.8
14575, <=50K, <=50K,0.92
26324, >50K, <=50K,0.68
26398, <=50K, <=50K,0.96
25811, <=50K, <=50K,0.72
14292, <=50K, <=50K,1.0
24514, <=50K, <=50K,0.68
20444, <=50K, <=50K,1.0
23074, <=50K, <=50K,0.88
21, >50K, >50K,0.76
15442, <=50K, <=50K,0.76
7151, <=50K, <=50K,1.0
12339, >50K, >50K,0.64
19906, <=50K, <=50K,0.96
11428, <=50K, <=50K,0.96
3610, <=50K, <=50K,1.0
7914, <=50K, <=50K,0.96
21699, <=50K, <=50K,1.0
13565, <=50K, <=50K,1.0
25600, <=50K, <=50K,0.88
3341, <=50K, <=50K,0.96
14124, <=50K, <=50K,0.8
31987, >50K, >50K,0.56
29001, <=50K, <=50K,1.0
28787, <=50K, <=50K,0.92
5685, <=50K, <=50K,1.0
4244, <=50K, <=50K,0.96
21207, >50K, >50K,0.8
11154, >50K, >50K,0.72
21324, <=50K, <=50K,1.0
10402, <=50K, <=50K,1.0
6094, <=50K, <=50K,0.88
25398, <=50K, <=50K,0.64
3039, <=50K, <=50K,0.8
15154, >50K, <=50K,0.84
16605, >50K, <=50K,0.64
19477, >50K, >50K,0.72
10804, <=50K, <=50K,1.0
15860, <=50K, <=50K,1.0
30981, >50K, <=50K,0.56
15674, <=50K, <=50K,0.96
28898, <=50K, <=50K,0.84
29679, <=50K, <=50K,0.84
19756, <=50K, <=50K,0.8
13329, <=50K, <=50K,0.8
4774, <=50K, <=50K,0.92
30352, <=50K, <=50K,0.68
9775, >50K, <=50K,0.96
1971, <=50K, <=50K,0.96
30752, <=50K, <=50K,0.76
23382, >50K, >50K,0.56
4617, <=50K, <=50K,0.88
17822, <=50K, >50K,0.52
30955, >50K, >50K,0.64
18995, <=50K, <=50K,0.92
13124, >50K, >50K,0.56
21019, <=50K, <=50K,0.96
10375, <=50K, <=50K,0.96
9983, <=50K, <=50K,0.52
7129, <=50K, <=50K,0.96
11986, >50K, <=50K,0.6
31925, <=50K, <=50K,0.8
5002, <=50K, <=50K,0.84
2953, <=50K, <=50K,0.76
4603, <=50K, <=50K,0.96
22379, <=50K, <=50K,0.84
20084, <=50K, <=50K,0.76
28908, <=50K, <=50K,0.8
21825, <=50K, >50K,0.64
23902, <=50K, <=50K,0.72
16899, <=50K, <=50K,0.88
21396, <=50K, <=50K,0.64
26648, >50K, <=50K,0.6
25495, <=50K, <=50K,1.0
31769, <=50K, <=50K,0.8
14248, <=50K, <=50K,0.68
10106, <=50K, <=50K,0.76
13276, <=50K, <=50K,0.92
340, <=50K, <=50K,0.68
5961, <=50K, <=50K,1.0
27319, <=50K, <=50K,1.0
7494, <=50K, <=50K,0.52
7751, <=50K, <=50K,1.0
2486, <=50K, <=50K,0.76
7965, <=50K, <=50K,0.92
23730, <=50K, <=50K,0.76
27467, <=50K, <=50K,0.88
16125, <=50K, <=50K,0.64
12572, <=50K, <=50K,0.96
7987, <=50K, <=50K,0.76
3601, <=50K, <=50K,1.0
12639, <=50K, <=50K,1.0
18534, <=50K, <=50K,0.96
7029, <=50K, <=50K,0.96
14412, <=50K, <=50K,1.0
7064, <=50K, <=50K,0.96
16276, <=50K, <=50K,0.88
11467, >50K, <=50K,0.56
21059, >50K, >50K,0.52
12140, >50K, >50K,0.68
11516, <=50K, <=50K,0.84
17290, <=50K, <=50K,0.96
23984, >50K, >50K,0.6
7163, <=50K, <=50K,0.88
13371, >50K, <=50K,0.72
