ID,Actual Class,Predicted Class,Posterior Probability
1,Iris-setosa,Iris-setosa,1.0
2,Iris-setosa,Iris-setosa,1.0
3,Iris-setosa,Iris-setosa,1.0
4,Iris-setosa,Iris-setosa,1.0
5,Iris-setosa,Iris-setosa,1.0
6,Iris-setosa,Iris-setosa,1.0
7,Iris-setosa,Iris-setosa,1.0
8,Iris-setosa,Iris-setosa,1.0
9,Iris-setosa,Iris-setosa,1.0
10,Iris-setosa,Iris-setosa,1.0
11,Iris-setosa,Iris-setosa,1.0
12,Iris-setosa,Iris-setosa,1.0
13,Iris-setosa,Iris-setosa,1.0
14,Iris-setosa,Iris-setosa,1.0
15,Iris-setosa,Iris-setosa,1.0
16,Iris-setosa,Iris-setosa,1.0
17,Iris-setosa,Iris-setosa,1.0
18,Iris-setosa,Iris-setosa,1.0
19,Iris-setosa,Iris-setosa,1.0
20,Iris-setosa,Iris-setosa,1.0
21,Iris-setosa,Iris-setosa,1.0
22,Iris-setosa,Iris-setosa,1.0
23,Iris-setosa,Iris-setosa,1.0
24,Iris-setosa,Iris-setosa,1.0
25,Iris-setosa,Iris-setosa,1.0
26,Iris-setosa,Iris-setosa,1.0
27,Iris-setosa,Iris-setosa,1.0
28,Iris-setosa,Iris-setosa,1.0
29,Iris-setosa,Iris-setosa,1.0
30,Iris-setosa,Iris-setosa,1.0
31,Iris-setosa,Iris-setosa,1.0
32,Iris-setosa,Iris-setosa,1.0
33,Iris-setosa,Iris-setosa,1.0
34,Iris-setosa,Iris-setosa,1.0
35,Iris-setosa,Iris-setosa,1.0
36,Iris-setosa,Iris-setosa,1.0
37,Iris-setosa,Iris-setosa,1.0
38,Iris-setosa,Iris-setosa,1.0
39,Iris-setosa,Iris-setosa,1.0
40,Iris-setosa,Iris-setosa,1.0
41,Iris-setosa,Iris-setosa,1.0
42,Iris-setosa,Iris-setosa,0.84
43,Iris-setosa,Iris-setosa,1.0
44,Iris-setosa,Iris-setosa,1.0
45,Iris-setosa,Iris-setosa,1.0
46,Iris-setosa,Iris-setosa,1.0
47,Iris-setosa,Iris-setosa,1.0
48,Iris-setosa,Iris-setosa,1.0
49,Iris-setosa,Iris-setosa,1.0
50,Iris-setosa,Iris-setosa,1.0
51,Iris-versicolor,Iris-virginica,0.52
52,Iris-versicolor,Iris-versicolor,0.72
53,Iris-versicolor,Iris-virginica,0.52
54,Iris-versicolor,Iris-versicolor,0.88
55,Iris-versicolor,Iris-versicolor,0.68
56,Iris-versicolor,Iris-versicolor,0.84
57,Iris-versicolor,Iris-versicolor,0.64
58,Iris-versicolor,Iris-versicolor,0.96
59,Iris-versicolor,Iris-versicolor,0.72
60,Iris-versicolor,Iris-versicolor,0.92
61,Iris-versicolor,Iris-versicolor,0.88
62,Iris-versicolor,Iris-versicolor,0.84
63,Iris-versicolor,Iris-versicolor,0.84
64,Iris-versicolor,Iris-versicolor,0.76
65,Iris-versicolor,Iris-versicolor,1.0
66,Iris-versicolor,Iris-versicolor,0.64
67,Iris-versicolor,Iris-versicolor,0.76
68,Iris-versicolor,Iris-versicolor,1.0
69,Iris-versicolor,Iris-versicolor,0.64
70,Iris-versicolor,Iris-versicolor,1.0
71,Iris-versicolor,Iris-versicolor,0.6
72,Iris-versicolor,Iris-versicolor,0.92
73,Iris-versicolor,Iris-versicolor,0.52
74,Iris-versicolor,Iris-versicolor,0.72
75,Iris-versicolor,Iris-versicolor,0.8
76,Iris-versicolor,Iris-versicolor,0.72
77,Iris-versicolor,Iris-versicolor,0.6
78,Iris-versicolor,Iris-virginica,0.56
79,Iris-versicolor,Iris-versicolor,0.76
80,Iris-versicolor,Iris-versicolor,1.0
81,Iris-versicolor,Iris-versicolor,0.96
82,Iris-versicolor,Iris-versicolor,0.96
83,Iris-versicolor,Iris-versicolor,1.0
84,Iris-versicolor,Iris-virginica,0.64
85,Iris-versicolor,Iris-versicolor,0.76
86,Iris-versicolor,Iris-versicolor,0.72
87,Iris-versicolor,Iris-versicolor,0.6
88,Iris-versicolor,Iris-versicolor,0.68
89,Iris-versicolor,Iris-versicolor,0.92
90,Iris-versicolor,Iris-versicolor,0.92
91,Iris-versicolor,Iris-versicolor,0.8
92,Iris-versicolor,Iris-versicolor,0.76
93,Iris-versicolor,Iris-versicolor,1.0
94,Iris-versicolor,Iris-versicolor,0.96
95,Iris-versicolor,Iris-versicolor,0.96
96,Iris-versicolor,Iris-versicolor,0.88
97,Iris-versicolor,Iris-versicolor,0.92
98,Iris-versicolor,Iris-versicolor,0.8
99,Iris-versicolor,Iris-versicolor,0.96
100,Iris-versicolor,Iris-versicolor,0.96
101,Iris-virginica,Iris-virginica,0.96
102,Iris-virginica,Iris-virginica,0.6
103,Iris-virginica,Iris-virginica,0.92
104,Iris-virginica,Iris-virginica,0.88
105,Iris-virginica,Iris-virginica,0.96
106,Iris-virginica,Iris-virginica,0.96
107,Iris-virginica,Iris-versicolor,0.8
108,Iris-virginica,Iris-virginica,0.92
109,Iris-virginica,Iris-virginica,0.8
110,Iris-virginica,Iris-virginica,1.0
111,Iris-virginica,Iris-virginica,0.76
112,Iris-virginica,Iris-virginica,0.76
113,Iris-virginica,Iris-virginica,0.88
114,Iris-virginica,Iris-virginica,0.56
115,Iris-virginica,Iris-virginica,0.72
116,Iris-virginica,Iris-virginica,0.88
117,Iris-virginica,Iris-virginica,0.88
118,Iris-virginica,Iris-virginica,0.92
119,Iris-virginica,Iris-virginica,1.0
120,Iris-virginica,Iris-versicolor,0.56
121,Iris-virginica,Iris-virginica,0.92
122,Iris-virginica,Iris-versicolor,0.64
123,Iris-virginica,Iris-virginica,0.96
124,Iris-virginica,Iris-virginica,0.56
125,Iris-virginica,Iris-virginica,0.92
126,Iris-virginica,Iris-virginica,0.88
127,Iris-virginica,Iris-virginica,0.6
128,Iris-virginica,Iris-virginica,0.56
129,Iris-virginica,Iris-virginica,0.92
130,Iris-virginica,Iris-virginica,0.8
131,Iris-virginica,Iris-virginica,0.88
132,Iris-virginica,Iris-virginica,0.92
133,Iris-virginica,Iris-virginica,0.92
134,Iris-virginica,Iris-virginica,0.56
135,Iris-virginica,Iris-virginica,0.76
136,Iris-virginica,Iris-virginica,0.88
137,Iris-virginica,Iris-virginica,0.88
138,Iris-virginica,Iris-virginica,0.88
139,Iris-virginica,Iris-versicolor,0.52
140,Iris-virginica,Iris-virginica,0.84
141,Iris-virginica,Iris-virginica,0.92
142,Iris-virginica,Iris-virginica,0.76
143,Iris-virginica,Iris-virginica,0.6
144,Iris-virginica,Iris-virginica,0.96
145,Iris-virginica,Iris-virginica,0.96
146,Iris-virginica,Iris-virginica,0.84
147,Iris-virginica,Iris-virginica,0.64
148,Iris-virginica,Iris-virginica,0.84
149,Iris-virginica,Iris-virginica,0.84
150,Iris-virginica,Iris-virginica,0.56
